[2020-12-20 11:56:32,537] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -----------生成测试用例--------------
[2020-12-20 11:58:49,834] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -----------生成测试用例--------------
[2020-12-20 11:58:57,428] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -----------生成测试用例--------------
[2020-12-20 12:40:23,603] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -----------生成测试用例--------------
[2020-12-20 12:40:23,671] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 生成测试用例列表：['test_addfirm.py', 'test_firmlist.py', 'test_login.py']
[2020-12-20 12:40:23,672] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -------- 开始执行用例----------------
[2020-12-20 12:40:23,673] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 生成接口自动化测试报告:2020_12_20-12_40_23_report.html
[2020-12-20 12:40:23,690] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 用例firm.test_addfirm (unittest.loader._FailedTest)执行错误
[2020-12-20 12:40:23,691] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 用例firm.test_firmlist (unittest.loader._FailedTest)执行错误
[2020-12-20 12:40:23,692] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -------接口测试流程测试完成----------
[2020-12-20 12:40:23,696] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 删除过期的报告:True
[2020-12-20 12:46:03,029] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -----------生成测试用例--------------
[2020-12-20 12:46:03,098] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 生成测试用例列表：['test_addfirm.py', 'test_firmlist.py', 'test_login.py']
[2020-12-20 12:46:03,099] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -------- 开始执行用例----------------
[2020-12-20 12:46:03,100] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 生成接口自动化测试报告:2020_12_20-12_46_03_report.html
[2020-12-20 12:46:08,213] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 用例test_01_1 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 12:46:09,789] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 用例test_01_2 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 12:46:11,738] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 用例test_01_1 (firm.test_firmlist.Test_FirmList)执行成功
[2020-12-20 12:46:11,739] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: -------接口测试流程测试完成----------
[2020-12-20 12:46:11,743] - C:\Users\Administrator\Desktop\SAAS_API\lib\generate_logs.py] - INFO: 删除过期的报告:True
[2020-12-20 12:49:16,624] -INFO: -----------生成测试用例--------------
[2020-12-20 12:49:16,689] -INFO: 生成测试用例列表：['test_addfirm.py', 'test_firmlist.py', 'test_login.py']
[2020-12-20 12:49:16,690] -INFO: -------- 开始执行用例----------------
[2020-12-20 12:49:16,691] -INFO: 生成接口自动化测试报告:2020_12_20-12_49_16_report.html
[2020-12-20 12:49:18,474] -INFO: 用例test_01_1 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 12:49:19,672] -INFO: 用例test_01_2 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 12:49:21,042] -INFO: 用例test_01_1 (firm.test_firmlist.Test_FirmList)执行成功
[2020-12-20 12:49:21,044] -INFO: -------接口测试流程测试完成----------
[2020-12-20 12:49:21,048] -INFO: 删除过期的报告:True
[2020-12-20 12:49:55,643] -INFO: -----------生成测试用例--------------
[2020-12-20 12:49:55,644] -INFO: -------- 开始执行用例----------------
[2020-12-20 12:49:55,645] -INFO: 生成接口自动化测试报告:2020_12_20-12_49_55_report.html
[2020-12-20 12:49:57,043] -INFO: 用例test_01_1 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 12:49:57,965] -INFO: 用例test_01_2 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 12:49:58,944] -INFO: 用例test_01_1 (firm.test_firmlist.Test_FirmList)执行成功
[2020-12-20 12:49:58,945] -INFO: -------接口测试流程测试完成----------
[2020-12-20 12:49:58,949] -INFO: 删除过期的报告:True
[2020-12-20 14:50:58,929] -INFO: -----------生成测试用例--------------
[2020-12-20 14:50:58,930] -INFO: -------- 开始执行用例----------------
[2020-12-20 14:50:58,931] -INFO: 生成接口自动化测试报告:2020_12_20-14_50_58_report.html
[2020-12-20 14:51:05,152] -INFO: 用例test_01_1 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 14:51:08,246] -INFO: 用例test_01_2 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 14:51:10,244] -INFO: 用例test_01_1 (firm.test_firmlist.Test_FirmList)执行成功
[2020-12-20 14:51:10,245] -INFO: -------接口测试流程测试完成----------
[2020-12-20 14:51:10,250] -INFO: 删除过期的报告:True
[2020-12-20 14:51:43,608] -INFO: -----------生成测试用例--------------
[2020-12-20 14:51:43,609] -INFO: -------- 开始执行用例----------------
[2020-12-20 14:51:43,610] -INFO: 生成接口自动化测试报告:2020_12_20-14_51_43_report.html
[2020-12-20 14:52:39,835] -INFO: -----------生成测试用例--------------
